IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J,IT05F_indiv,IT06D_indep,IP13D_prnt_sup,IP21_remote_prep,IP34_locale_size,IP34A_public,IP1G35C_prop_disadvan,IP03_tech
10060111,1006,26.36156884615385,3.0,13.08,1,1,4.0,1.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060112,1006,26.36156884615385,1.0,13.58,1,1,4.5,4.0,1.0,1.0,2.75,3.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060113,1006,26.36156884615385,2.0,13.25,1,1,3.0,2.0,3.0,4.0,3.0,2.0,,,4.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060114,1006,26.36156884615385,3.0,12.83,1,1,2.0,2.0,1.0,1.0,3.6666667,2.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0,4.0,1.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060115,1006,26.36156884615385,1.0,13.25,1,1,3.5,1.0,1.0,2.0,2.5,2.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060116,1006,26.36156884615385,1.0,12.67,1,1,2.0,1.0,1.0,1.0,3.25,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060117,1006,26.36156884615385,3.0,13.67,1,1,3.5,1.0,1.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,4.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060118,1006,26.36156884615385,2.0,12.92,1,1,5.0,1.0,1.0,0.0,3.25,2.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060119,1006,26.36156884615385,2.0,13.83,1,1,3.5,1.0,1.0,1.0,2.75,2.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
10060120,1006,26.36156884615385,2.0,14.58,1,1,5.0,1.0,1.0,0.0,2.5,2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,,3.0,4.285714285714286,3.2857142857142856,2.0,4.0,1.0,1.0,1.0,2
