IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J
10100110,1010,17.87507632692308,2,12.08,1,1,1,2,,,1,2,,,4,2,2,1,4,3,4,4,4,1,4,4,4
10100111,1010,17.87507632692308,2,13.58,1,1,2,2,5,4,3.25,2,2,4,3,4,4,1,1,2,2,4,3,3,4,4,3
10100112,1010,17.87507632692308,2,13.25,1,1,2.5,3,1,2,2.5,2,3,3,4,3,1,2,3,3,3,4,4,4,3,2,2
10100113,1010,17.87507632692308,2,12.92,1,1,2,3,1,3,2.5,2,2,3,3,3,4,3,3,3,3,3,2,3,2,2,2
10100114,1010,17.87507632692308,2,14.25,1,1,1,2,5,2,2,3,3,2,3,3,1,2,3,2,2,2,3,3,2,3,3
10100115,1010,17.87507632692308,3,13.42,1,1,3.5,2,1,3,2.75,3,2,3,2,3,1,3,2,2,3,3,3,2,3,3,3
10100116,1010,17.87507632692308,2,14.83,1,1,2,4,1,2,2.75,2,3,4,3,3,1,1,4,3,2,2,2,2,2,2,1
10100117,1010,17.87507632692308,3,13.58,1,1,3,1,5,1,3,2,2,4,1,3,1,1,4,4,4,1,1,1,1,2,1
10100118,1010,17.87507632692308,2,13.67,1,1,2.5,3,1,2,3,2,3,3,3,3,2,1,4,2,3,1,3,2,2,4,2
10100120,1010,17.87507632692308,2,13.58,1,1,3,,5,1,3.25,2,2,4,2,4,1,4,4,4,4,1,1,1,1,1,2
10110101,1011,33.80381653846154,2,13.75,1,1,3.5,2,1,2,3.25,2,2,3,3,1,2,1,3,3,3,4,3,3,2,2,3
10110102,1011,33.80381653846154,3,13.25,1,1,3.5,1,1,2,3,3,3,3,1,3,1,1,4,3,4,1,1,1,1,1,1
10110103,1011,33.80381653846154,2,13.42,1,1,4,3,1,2,3.25,2,3,3,2,4,1,1,3,3,3,1,1,1,1,4,1
10110104,1011,33.80381653846154,3,12.92,1,1,5,1,1,3,2.5,3,3,2,4,3,1,2,1,1,1,4,4,4,3,2,4
10110105,1011,33.80381653846154,1,13,1,1,3,3,4,2,2.5,2,2,3,2,3,2,1,2,1,1,3,2,1,2,2,2
10110106,1011,33.80381653846154,3,13.33,1,1,4,2,1,1,2.25,1,3,2,3,3,2,2,3,3,3,3,3,3,3,3,3
10110107,1011,33.80381653846154,2,13.58,1,1,2.5,4,1,3,3,3,3,2,3,2,3,1,2,2,2,2,2,2,3,4,2
10110110,1011,33.80381653846154,2,13.75,1,1,3,,1,2,3.25,2,2,2,2,3,1,1,3,3,3,2,3,3,3,3,3
10110111,1011,33.80381653846154,,12.75,1,1,1,,1,,,,,,,,,,,,,,,,,,
10110112,1011,33.80381653846154,2,13.75,1,1,5,3,1,3,1.25,2,2,1,4,1,4,3,4,4,4,4,4,4,4,4,4
10110113,1011,33.80381653846154,3,13.08,1,1,3,1,1,2,2.5,3,3,3,2,3,2,1,3,3,3,2,2,2,2,3,2
10110117,1011,33.80381653846154,2,13.5,1,1,3,,1,,4,,,,,,,,,,,,,,,4,
10120101,1012,20.596032,,14.25,0,1,5,1,1,4,3.25,,2,2,4,4,1,1,1,1,1,4,4,4,4,4,4
10120102,1012,20.596032,3,13.33,0,1,4,1,1,2,3.25,3,2,3,2,4,2,1,2,2,3,3,3,3,3,3,2
10120103,1012,20.596032,3,12.92,0,1,3,4,1,3,2.25,3,4,1,4,1,4,1,1,1,1,1,1,1,1,1,1
10120104,1012,20.596032,2,13.25,0,1,5,2,1,2,2.75,2,3,3,2,3,1,2,2,2,2,2,2,2,2,3,3
10120105,1012,20.596032,2,12,0,1,5,4,1,4,3,2,3,2,2,4,4,4,3,3,3,3,3,3,3,3,3
10120106,1012,20.596032,,13.5,0,1,3.5,,1,,,,,,,,,,,,,,,,,,
10120107,1012,20.596032,1,13.75,0,1,3,3,1,3,3,2,2,3,3,4,2,1,4,2,4,4,4,4,4,4,2
10120110,1012,20.596032,2,12.75,0,1,5,2,1,4,2.75,1,,,3,4,4,2,3,3,3,3,3,3,3,3,3
10120111,1012,20.596032,2,13.42,0,1,4,1,1,3,2.5,1,3,2,2,4,1,1,2,2,2,1,2,,3,4,2
10120112,1012,20.596032,3,12.92,0,1,5,1,1,2,3.25,3,1,,4,2,1,1,1,4,3,,,1,,,3
10120113,1012,20.596032,3,13.25,0,1,3.5,3,1,1,3.25,1,2,3,3,4,1,2,4,4,4,4,2,2,3,3,2
10120114,1012,20.596032,3,14.25,1,1,5,4,1,4,3.25,3,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4
10120115,1012,20.596032,2,13.42,0,1,3,1,1,3,2.5,2,3,2,2,2,3,1,4,4,4,2,2,2,2,4,2
10120116,1012,20.596032,,13.67,0,1,3,,,,,,,3,,,,,,,,,,,,,
10120117,1012,20.596032,2,13.33,0,1,5,3,1,1,2.75,3,3,2,3,4,1,2,3,4,3,4,3,3,3,3,3
10120118,1012,20.596032,,13.08,0,1,,,1,1,,,,,,,,,,,,,,,,,
10120120,1012,20.596032,,13.25,0,1,,,1,0,,,2,3,,,,,,,,,,,,,
10130101,1013,20.20352921052631,2,13.58,1,1,4.5,,1,3,2.75,3,2,3,2,,,,3,3,2,3,2,2,3,2,2
10130102,1013,20.20352921052631,3,12,1,1,4.5,2,1,3,3.25,3,4,4,2,3,1,1,2,2,2,1,2,2,2,3,2
10130103,1013,20.20352921052631,1,13.67,1,1,3,2,1,1,2.5,2,2,3,2,3,1,1,3,2,3,2,2,2,2,3,2
10130105,1013,20.20352921052631,3,12,1,1,3,4,1,1,2.25,1,2,4,2,2,1,1,4,4,4,4,4,4,4,4,4
10130106,1013,20.20352921052631,,13.42,1,1,,,,2,,,,,,,,,,,,,,,,,
10130107,1013,20.20352921052631,2,13.25,1,1,3.5,3,1,2,2.75,3,4,2,2,1,4,3,1,,2,3,3,,4,4,3
10130108,1013,20.20352921052631,3,13.83,1,1,4,2,5,2,2.75,2,2,1,3,3,2,2,4,4,4,3,3,3,4,3,3
10130109,1013,20.20352921052631,2,13.25,1,1,3,1,1,3,3.25,2,1,3,1,4,1,1,4,4,4,3,4,3,1,4,1
10130110,1013,20.20352921052631,2,12.17,1,1,3.5,2,1,1,3,2,2,3,,2,2,2,,,,,,,,,
10130111,1013,20.20352921052631,3,13.83,1,1,3.5,1,1,4,2.5,2,2,2,1,3,2,1,3,3,3,1,2,2,2,4,1
10130112,1013,20.20352921052631,2,13.83,1,1,4,1,5,3,2.75,2,3,3,2,3,1,1,2,3,3,2,3,2,3,3,2
10130113,1013,20.20352921052631,3,13,1,1,1.5,1,1,,3.25,3,2,2,4,1,1,1,4,4,4,4,4,4,4,4,4
10130114,1013,20.20352921052631,2,11.25,1,1,4.5,1,1,2,2.75,2,3,3,3,3,3,2,3,2,2,3,3,4,3,4,2
10130115,1013,20.20352921052631,2,12.75,1,1,2,3,5,3,2.5,2,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3
10130116,1013,20.20352921052631,2,13.5,1,1,2,1,,3,3.75,2,4,4,2,4,1,1,4,4,4,3,4,4,4,4,4
